"Tipo Doc.;""N.º Doc."";""Refª Cliente"";""Data"";""Cliente"";""Contribuinte"";""País"";""Zona geográfica"";""Método de Pagamento"";""Valor Pgto."";""Comissão Pgto."";""Cód. Artigo"";""Código EAN"";""Artigos"";""Qtd."";""Uni."";""Preço unitário sem IVA"";""Total Artigo"";""Total Ilíq."";""Desc."";""Total Liq."";""Impostos"";""Desc. Financeiro"";""Total"";""Acumulado"";""Local de Descarga"";""Observações""",,,,,,,,,,,,
"Fatura;""FAT/169"";"""";""2023-02-06"";""LEVES & DELICADAS - INDÚSTRIA DE CONFECÇÕES LDA"";""509341047"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""568","58"";""0","00"";""568","58"";""130","77"";""0","00"";""699","35"";""15322","02"";"""";""""",,,,,
"Fatura;""FAT/169"";"""";""2023-02-06"";""LEVES & DELICADAS - INDÚSTRIA DE CONFECÇÕES LDA"";""509341047"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg. Social - candidatura redução TSU Eduarda Santos"";""1","000"";""Uni."";""568","58000"";""568","58"";""568","58"";""0","00"";""568","58"";""130","77"";""0","00"";""699","35"";""699","35""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/170"";"""";""2023-02-06"";""PAPARIKA DO MARUJO LDA"";""513263233"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""568","58"";""0","00"";""568","58"";""130","77"";""0","00"";""699","35"";""16021","37"";"""";""""",,,,,
"Fatura;""FAT/170"";"""";""2023-02-06"";""PAPARIKA DO MARUJO LDA"";""513263233"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg. Social - candidatura redução TSU Diana Manhoso"";""1","000"";""Uni."";""568","58000"";""568","58"";""568","58"";""0","00"";""568","58"";""130","77"";""0","00"";""699","35"";""699","35""",,
 ,,,,,,,,,,,,
"Nota de Crédito;""FAT/6"";"""";""2023-02-07"";""SUMMER VOCATION LDA"";""516777572"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""-300","00"";""0","00"";""-300","00"";""-69","00"";""0","00"";""-369","00"";""15652","37"";"""";""""",,,,,
"Nota de Crédito;""FAT/6"";"""";""2023-02-07"";""SUMMER VOCATION LDA"";""516777572"";""Portugal"";"""";"""";"""";"""";""0005"";""cg400"";""Consultoria IEFP Compromisso Emprego"";""1","000"";""Uni."";""300","00000"";""300","00"";""-300","00"";""0","00"";""-300","00"";""-69","00"";""0","00"";""-369","00"";""-369","00""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/171"";"""";""2023-02-07"";""AHCATERING","LDA"";""515287253"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""523","69"";""0","00"";""523","69"";""120","45"";""0","00"";""644","14"";""16296","51"";"""";""""",,,,
"Fatura;""FAT/171"";"""";""2023-02-07"";""AHCATERING","LDA"";""515287253"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Diogo)"";""1","000"";""Uni."";""523","69000"";""523","69"";""523","69"";""0","00"";""523","69"";""120","45"";""0","00"";""644","14"";""644","14""",
 ,,,,,,,,,,,,
"Fatura;""FAT/172"";"""";""2023-02-20"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""302","29"";""0","00"";""302","29"";""69","53"";""0","00"";""371","82"";""16668","33"";"""";""""",,,,,
"Fatura;""FAT/172"";"""";""2023-02-20"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Leonor)"";""1","000"";""Uni."";""302","29000"";""302","29"";""302","29"";""0","00"";""302","29"";""69","53"";""0","00"";""371","82"";""371","82""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/173"";"""";""2023-02-20"";""UBI - Universidade da Beira Interior"";""502083514"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""4000","00"";""0","00"";""4000","00"";""920","00"";""0","00"";""4920","00"";""21588","33"";"""";""""",,,,,
"Fatura;""FAT/173"";"""";""2023-02-20"";""UBI - Universidade da Beira Interior"";""502083514"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Projecto SportyMentor: 1) Desenvolvimento de metodologia para o ""desk research"" e 2) Apoio no processamento de dados relativos a inquéritos"";""1","000"";""Uni."";""4000","00000"";""4000","00"";""4000","00"";""0","00"";""4000","00"";""920","00"";""0","00"";""4920","00"";""4920","00""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/174"";"""";""2023-03-01"";""UBI - Universidade da Beira Interior"";""502083514"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""4100","00"";""0","00"";""4100","00"";""943","00"";""0","00"";""5043","00"";""26631","33"";"""";""""",,,,,
"Fatura;""FAT/174"";"""";""2023-03-01"";""UBI - Universidade da Beira Interior"";""502083514"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Projeto FIT4FUTURE"";""1","000"";""Uni."";""4100","00000"";""4100","00"";""4100","00"";""0","00"";""4100","00"";""943","00"";""0","00"";""5043","00"";""5043","00""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/175"";"""";""2023-03-01"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""400","00"";""0","00"";""400","00"";""92","00"";""0","00"";""492","00"";""27123","33"";"""";""""",,,,,
"Fatura;""FAT/175"";"""";""2023-03-01"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão FEVEREIRO"";""1","000"";""Uni."";""400","00000"";""400","00"";""400","00"";""0","00"";""400","00"";""92","00"";""0","00"";""492","00"";""492","00""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/176"";"""";""2023-03-01"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""400","00"";""0","00"";""400","00"";""92","00"";""0","00"";""492","00"";""27615","33"";"""";""""",,,,,
"Fatura;""FAT/176"";"""";""2023-03-01"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão FEVEREIRO"";""1","000"";""Uni."";""400","00000"";""400","00"";""400","00"";""0","00"";""400","00"";""92","00"";""0","00"";""492","00"";""492","00""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/177"";"""";""2023-03-01"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""27799","83"";"""";""""",,,,,
"Fatura;""FAT/177"";"""";""2023-03-01"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Cash Flow FEVEREIRO"";""1","000"";""Uni."";""150","00000"";""150","00"";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""184","50""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/178"";"""";""2023-03-01"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""27984","33"";"""";""""",,,,,
"Fatura;""FAT/178"";"""";""2023-03-01"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0004"";"""";""Sportstudio FEVEREIRO"";""7","500"";""Uni."";""20","00000"";""150","00"";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""184","50""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/179"";"""";""2023-03-01"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""584","14"";""0","00"";""584","14"";""134","35"";""0","00"";""718","49"";""28702","82"";"""";""""",,,,,
"Fatura;""FAT/179"";"""";""2023-03-01"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP Compromisso Emprego - processo nº 0104/TJ/22 (Cláudia Costa)"";""1","000"";""Uni."";""584","14000"";""584","14"";""584","14"";""0","00"";""584","14"";""134","35"";""0","00"";""718","49"";""718","49""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/180"";"""";""2023-03-08"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""453","44"";""0","00"";""453","44"";""104","29"";""0","00"";""557","73"";""29260","55"";"""";""""",,,,,
"Fatura;""FAT/180"";"""";""2023-03-08"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Viviana)"";""1","000"";""Uni."";""453","44000"";""453","44"";""453","44"";""0","00"";""453","44"";""104","29"";""0","00"";""557","73"";""557","73""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/181"";"""";""2023-03-10"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""869","71"";""0","00"";""869","71"";""200","03"";""0","00"";""1069","74"";""30330","29"";"""";""""",,,,,
"Fatura;""FAT/181"";"""";""2023-03-10"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Vishal)"";""1","000"";""Uni."";""442","23000"";""442","23"";""442","23"";""0","00"";""442","23"";""101","71"";""0","00"";""543","94"";""543","94""",,
"Fatura;""FAT/181"";"""";""2023-03-10"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Tufayeal)"";""1","000"";""Uni."";""427","48000"";""427","48"";""427","48"";""0","00"";""427","48"";""98","32"";""0","00"";""525","80"";""1069","74""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/182"";"""";""2023-03-20"";""JOGO JOGADO - CONSULTORIA E FORMAÇÃO LDA"";""508784590"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""82","50"";""0","00"";""82","50"";""18","98"";""0","00"";""101","48"";""30431","77"";"""";""""",,,,,
"Fatura;""FAT/182"";"""";""2023-03-20"";""JOGO JOGADO - CONSULTORIA E FORMAÇÃO LDA"";""508784590"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão (emissão documentos via Moloni e respectivo envio por mail) --- MARÇO.2023"";""1","000"";""Uni."";""82","50000"";""82","50"";""82","50"";""0","00"";""82","50"";""18","98"";""0","00"";""101","48"";""101","48""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/183"";"""";""2023-03-20"";""SEIXAL CLUBE 1925"";""510309305"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""549","33"";""0","00"";""549","33"";""126","35"";""0","00"";""675","68"";""31107","45"";"""";""""",,,,,
"Fatura;""FAT/183"";"""";""2023-03-20"";""SEIXAL CLUBE 1925"";""510309305"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Consultoria IEFP Estágio - processo nº 0151/TE/22 (estagiário João)"";""1","000"";""Uni."";""549","33000"";""549","33"";""549","33"";""0","00"";""549","33"";""126","35"";""0","00"";""675","68"";""675","68""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/184"";"""";""2023-04-01"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""138","27"";""0","00"";""138","27"";""31","80"";""0","00"";""170","07"";""31277","52"";"""";""""",,,,,
"Fatura;""FAT/184"";"""";""2023-04-01"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP Estágio Ativar - processo nº 3633/TE/22 (Cristiano)"";""1","000"";""Uni."";""138","27000"";""138","27"";""138","27"";""0","00"";""138","27"";""31","80"";""0","00"";""170","07"";""170","07""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/185"";"""";""2023-04-01"";""LEVES & DELICADAS - INDÚSTRIA DE CONFECÇÕES LDA"";""509341047"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""568","58"";""0","00"";""568","58"";""130","77"";""0","00"";""699","35"";""31976","87"";"""";""""",,,,,
"Fatura;""FAT/185"";"""";""2023-04-01"";""LEVES & DELICADAS - INDÚSTRIA DE CONFECÇÕES LDA"";""509341047"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg. Social - candidatura redução TSU Agnaldo"";""1","000"";""Uni."";""568","58000"";""568","58"";""568","58"";""0","00"";""568","58"";""130","77"";""0","00"";""699","35"";""699","35""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/186"";"""";""2023-04-01"";""GALLUS.COME - ACTIVIDADES HOTELEIRAS","UNIPESSOAL LDA"";""508322219"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""473","81"";""0","00"";""473","81"";""108","98"";""0","00"";""582","79"";""32559","66"";"""";""""",,,,
"Fatura;""FAT/186"";"""";""2023-04-01"";""GALLUS.COME - ACTIVIDADES HOTELEIRAS","UNIPESSOAL LDA"";""508322219"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg. Social - candidatura redução TSU Rifat"";""1","000"";""Uni."";""473","81000"";""473","81"";""473","81"";""0","00"";""473","81"";""108","98"";""0","00"";""582","79"";""582","79""",
 ,,,,,,,,,,,,
"Fatura;""FAT/187"";"""";""2023-04-03"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""33088","56"";"""";""""",,,,,
"Fatura;""FAT/187"";"""";""2023-04-03"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão MARÇO"";""1","000"";""Uni."";""430","00000"";""430","00"";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""528","90""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/188"";"""";""2023-04-03"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""33617","46"";"""";""""",,,,,
"Fatura;""FAT/188"";"""";""2023-04-03"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão MARÇO"";""1","000"";""Uni."";""430","00000"";""430","00"";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""528","90""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/189"";"""";""2023-04-03"";""JOGO JOGADO - CONSULTORIA E FORMAÇÃO LDA"";""508784590"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""82","50"";""0","00"";""82","50"";""18","98"";""0","00"";""101","48"";""33718","94"";"""";""""",,,,,
"Fatura;""FAT/189"";"""";""2023-04-03"";""JOGO JOGADO - CONSULTORIA E FORMAÇÃO LDA"";""508784590"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão (emissão documentos via Moloni e respectivo envio por mail) --- ABRIL.2023"";""1","000"";""Uni."";""82","50000"";""82","50"";""82","50"";""0","00"";""82","50"";""18","98"";""0","00"";""101","48"";""101","48""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/190"";"""";""2023-04-03"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""275","00"";""0","00"";""275","00"";""63","25"";""0","00"";""338","25"";""34057","19"";"""";""""",,,,,
"Fatura;""FAT/190"";"""";""2023-04-03"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""IEFP gestão processos - 2º trimestre 2023"";""1","000"";""Uni."";""275","00000"";""275","00"";""275","00"";""0","00"";""275","00"";""63","25"";""0","00"";""338","25"";""338","25""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/191"";"""";""2023-04-03"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""34241","69"";"""";""""",,,,,
"Fatura;""FAT/191"";"""";""2023-04-03"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Cash Flow MARÇO"";""1","000"";""Uni."";""150","00000"";""150","00"";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""184","50""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/192"";"""";""2023-04-03"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""160","00"";""0","00"";""160","00"";""36","80"";""0","00"";""196","80"";""34438","49"";"""";""""",,,,,
"Fatura;""FAT/192"";"""";""2023-04-03"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0004"";"""";""Sportstudio MARÇO"";""8","000"";""Uni."";""20","00000"";""160","00"";""160","00"";""0","00"";""160","00"";""36","80"";""0","00"";""196","80"";""196","80""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/193"";"""";""2023-04-03"";""AHCATERING","LDA"";""515287253"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""964","28"";""0","00"";""964","28"";""221","78"";""0","00"";""1186","06"";""35624","55"";"""";""""",,,,
"Fatura;""FAT/193"";"""";""2023-04-03"";""AHCATERING","LDA"";""515287253"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Consultoria IEFP Estágio - processo nº 0113/TE/23 (estagiária Beatriz)"";""1","000"";""Uni."";""964","28000"";""964","28"";""964","28"";""0","00"";""964","28"";""221","78"";""0","00"";""1186","06"";""1186","06""",
 ,,,,,,,,,,,,
"Fatura;""FAT/194"";"""";""2023-04-03"";""PAPARIKA DO MARUJO LDA"";""513263233"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""1016","39"";""0","00"";""1016","39"";""233","77"";""0","00"";""1250","16"";""36874","71"";"""";""""",,,,,
"Fatura;""FAT/194"";"""";""2023-04-03"";""PAPARIKA DO MARUJO LDA"";""513263233"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP Compromisso Emprego - processo nº 0297/TJ/22 (Diana)"";""1","000"";""Uni."";""1016","39000"";""1016","39"";""1016","39"";""0","00"";""1016","39"";""233","77"";""0","00"";""1250","16"";""1250","16""",,
 ,,,,,,,,,,,,
"Nota de Crédito;""FAT/7"";"""";""2023-04-05"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""-253","21"";""0","00"";""-253","21"";""-58","24"";""0","00"";""-311","45"";""36563","26"";"""";""Maria Clara demitiu-se com efeitos a 14.01.2023",apoio TSU durou somente 2,"5 meses""",,,
"Nota de Crédito;""FAT/7"";"""";""2023-04-05"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Maria Clara)"";""1","000"";""Uni."";""253","21000"";""253","21"";""-253","21"";""0","00"";""-253","21"";""-58","24"";""0","00"";""-311","45"";""-311","45""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/195"";"""";""2023-04-17"";""MARGEM NEUTRA LDA"";""513650261"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""1696","24"";""0","00"";""1696","24"";""390","13"";""0","00"";""2086","37"";""38649","63"";"""";""""",,,,,
"Fatura;""FAT/195"";"""";""2023-04-17"";""MARGEM NEUTRA LDA"";""513650261"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Prabin)"";""1","000"";""Uni."";""322","19000"";""322","19"";""322","19"";""0","00"";""322","19"";""74","10"";""0","00"";""396","29"";""396","29""",,
"Fatura;""FAT/195"";"""";""2023-04-17"";""MARGEM NEUTRA LDA"";""513650261"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Noemy)"";""1","000"";""Uni."";""274","81000"";""274","81"";""274","81"";""0","00"";""274","81"";""63","21"";""0","00"";""338","02"";""734","31""",,
"Fatura;""FAT/195"";"""";""2023-04-17"";""MARGEM NEUTRA LDA"";""513650261"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (João)"";""1","000"";""Uni."";""549","62000"";""549","62"";""549","62"";""0","00"";""549","62"";""126","41"";""0","00"";""676","03"";""1410","34""",,
"Fatura;""FAT/195"";"""";""2023-04-17"";""MARGEM NEUTRA LDA"";""513650261"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Peter)"";""1","000"";""Uni."";""549","62000"";""549","62"";""549","62"";""0","00"";""549","62"";""126","41"";""0","00"";""676","03"";""2086","37""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/196"";"""";""2023-04-17"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""138","97"";""0","00"";""138","97"";""31","96"";""0","00"";""170","93"";""38820","56"";"""";""""",,,,,
"Fatura;""FAT/196"";"""";""2023-04-17"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP Estágio Ativar - processo nº 2221/TE/22 (Hugo Rocha)"";""1","000"";""Uni."";""138","97000"";""138","97"";""138","97"";""0","00"";""138","97"";""31","96"";""0","00"";""170","93"";""170","93""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/197"";"""";""2023-04-17"";""JOGO JOGADO - CONSULTORIA E FORMAÇÃO LDA"";""508784590"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""258","42"";""0","00"";""258","42"";""59","44"";""0","00"";""317","86"";""39138","42"";"""";""""",,,,,
"Fatura;""FAT/197"";"""";""2023-04-17"";""JOGO JOGADO - CONSULTORIA E FORMAÇÃO LDA"";""508784590"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP Compromisso Emprego - processo nº 0028/TJ/23"";""1","000"";""Uni."";""258","42000"";""258","42"";""258","42"";""0","00"";""258","42"";""59","44"";""0","00"";""317","86"";""317","86""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/198"";"""";""2023-05-03"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""1265","16"";""0","00"";""1265","16"";""290","98"";""0","00"";""1556","14"";""40694","56"";"""";""""",,,,,
"Fatura;""FAT/198"";"""";""2023-05-03"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP Compromisso Emprego - processo nº 0128/TJ/22 (Maria da Conceição)"";""1","000"";""Uni."";""632","58000"";""632","58"";""632","58"";""0","00"";""632","58"";""145","49"";""0","00"";""778","07"";""778","07""",,
"Fatura;""FAT/198"";"""";""2023-05-03"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP Compromisso Emprego - processo nº 0002/TJ/23 (Maria da Penha Gomes)"";""1","000"";""Uni."";""632","58000"";""632","58"";""632","58"";""0","00"";""632","58"";""145","49"";""0","00"";""778","07"";""1556","14""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/199"";"""";""2023-05-03"";""JASRIL - INSTALAÇÕES ELÉCTRICAS","LDA"";""508309328"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""927","93"";""0","00"";""927","93"";""213","42"";""0","00"";""1141","35"";""41835","91"";"""";""""",,,,
"Fatura;""FAT/199"";"""";""2023-05-03"";""JASRIL - INSTALAÇÕES ELÉCTRICAS","LDA"";""508309328"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP Compromisso Emprego - processo nº 0121/TJ/23 (João Nóbrega)"";""1","000"";""Uni."";""927","93000"";""927","93"";""927","93"";""0","00"";""927","93"";""213","42"";""0","00"";""1141","35"";""1141","35""",
 ,,,,,,,,,,,,
"Fatura;""FAT/200"";"""";""2023-05-03"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""451","08"";""0","00"";""451","08"";""103","75"";""0","00"";""554","83"";""42390","74"";"""";""""",,,,,
"Fatura;""FAT/200"";"""";""2023-05-03"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP Compromisso Emprego - processo nº 0143/TJ/23 (Margarida)"";""1","000"";""Uni."";""451","08000"";""451","08"";""451","08"";""0","00"";""451","08"";""103","75"";""0","00"";""554","83"";""554","83""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/201"";"""";""2023-05-04"";""JASRIL - INSTALAÇÕES ELÉCTRICAS","LDA"";""508309328"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""448","88"";""0","00"";""448","88"";""103","24"";""0","00"";""552","12"";""42942","86"";"""";""""",,,,
"Fatura;""FAT/201"";"""";""2023-05-04"";""JASRIL - INSTALAÇÕES ELÉCTRICAS","LDA"";""508309328"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg.Social TSU (João Nóbrega)"";""1","000"";""Uni."";""448","88000"";""448","88"";""448","88"";""0","00"";""448","88"";""103","24"";""0","00"";""552","12"";""552","12""",
 ,,,,,,,,,,,,
